"comentario";"depressao"
"como quero cursar psicologia ano que vem, sempre leio sobre a depressao e sobre outros transtornos tambem. ha um tempo comecei a me identificar demais com o que eu lia e a escrever textos extremamente negativos e que acabavam com o suicidio de alguem. tive a ajuda da pessoa mais improvavel. a unica que me procurou para saber o que estava acontecendo. geralmente eu estava entre amigos e eles respondiam por mim que eu nao estava triste, quando ela perguntava. entao ela me procurou a sos. a unica que entendia o quao seria e essa doenca. a unica que eu conseguia falar sem medo de julgamentos. uma professora. e foi ela quem conseguiu impedir algo maior de acontecer. ainda nos falamos, mas saber que em meio a todos ela se preocupa ja melhora um pouco.";"s"
"depois de ter so do duas depressoes, acho mega normal os sintomas. eu msm digo nao to caralho me deixa em paz kkkkkk mentira, pq geralmente quem me diz que preciso de ajuda e minha mae, portanto eu, educadamente, digo nao! eu estou bem! ai ela vem com esse papo de que eu fiz isso, fiz aql, meu humor fica muito alterado do nada, e eu lembro a ela isso e so uma fase, lembra? espera so mais uns 3/4 anos, e a epoca que a adolescencia acaba kkkkk  mas e isso! pelo menos pra mim e isso e acabou! sigo meu baile! mas se vc realmente acha que e depressivo, procura ajuda, nao feche seus olhos. pode parecer meio hipocrisia da minha parte dizer isso, mas, estou falando de mim! que eu nao preciso. disso eu tenho certeza, pq sei que estou bem! e isso vai passar... sou estou em um momento de estresse com tudo e com todos kkkkkk ou seja, normal";"n"
"canal nostalgia, vcs sao realmente incriveis!  o conteudo de vcs e mto bom e torco pelo sucesso de vcs, mas n so de fama, mas tb de reconhecimento e sempre trazer conteudos tao bons quanto oq vcs vem apresentando. a forma como o felipe castanhari aborda e apresenta o conteudo e cativante! :d  vcs merecem todo meu respeito... sao um dos melhores canais do youtube, com toda certeza!";"n"
"cara  tenho de pressao  mas tenho vergonha de falar isso. nunca tentei suicidios pois nao tenho coragem mas pensamento de: se mate pq vc nao merece viver vc e so um erro o porque disso eu sempre pensei q nunca ajudei meus pais com nada eu so tiro deles e muito. eu sempre tenho um pensamento la no fundo de se mate morra ate entao eu ignoro-o mas talvez um dia eu o siga tenho medo dessse dia mas sei q minha morte vai melhorar o mundo  obrigado luba por falar desse assunto delicado para mim e todos  (chorei vendo o video)";"s"
"o problema da depressao e que e uma montanha russa emocional, cara, nao da pra saber o que vem a seguir, e uma surpresa ruim da vida. e a gente nunca sabe como ela age diante de tanta pressao como esses atores tem em suas vidas. na minha vida academica, ela age de formas inimaginaveis, me atrapalhando muito mesmo. imagina na dessas pessoas que tem medo de parar e acabar sendo esquecidos e ao mesmo tempo desejam uma pausa.";"s"
"nao e tao simples assim... todos os dias ninguem quer essa coisa que temos. fazer isso pode ate incentivar o suicidio. a pessoas tenta todos os dias e falha todos os dias e mesmo que ela consiga um dia, no final do mesmo dia ela ja nao se sente bem e comeca a pensar que nao aguenta mais isso.   nesse estado de depressao a pessoa por mais que tente, ela precisa fazer um grande esforco pra tudo. ate mesmo pra o tratamento (psiquiatra, psicologo, neurologista...).";"s"
"tenho 23 anos, tenho depressao ha mais de metade da minha vida. tive epocas onde eu estive muito bem, consegui ser uma das primeiras da turma na faculdade, manter a casa impecavel, cuidar de um filhote de gato, ler todos os livros que eu queria, jogar video game sempre e fazer exercicios, tudo ao mesmo tempo( obrigada mae pelo otimo gerenciamento de tempo no dna). houve epocas em que eu nao conseguia ter energia de sair da cama para comer alguma coisa. passei por tudo e eu confirmo o que a nilce disse, tem saida. recaidas acontecem e elas vao acontecer. quando voce se sentir perdido, continue. um passinho depois do outro e o suficiente. acredite.";"s"
"tem alguma coisa que possa me ajudar tipo algo de tempo limitado pq tipo agora nesse momento da minha vida n tem como eu ficar sem ter os sintomas da depressao hoje tenho a mesma idade que voce dora quando descobriu sua depressao mais algumas coisas estao acontecendo aki em casa entao queria saber se tem qual quer coisa que mesmo por um tempo limitado pudesse fazer eu n sentir ou diminuir os sintomas?";"s"
"castanhari, nao sei qual esta certo, mas vi uma noticia de que a mulher de robin williams nao se matou por causa da depressao, provavelmente voce nao ira ler, mas ta aqui uma parte da noticia : em entrevista a revista people, susan falou pela primeira vez sobre a batalha do ator contra a demencia de corpos de lewy (dcl), doenca neurodegenerativa progressiva, caracterizada pelo acumulo de proteinas anormais nas celulas do cerebro, chamados de corpos de lewy. nao foi depressao que matou robin. a depressao foi, digamos, um dos 50 sintomas e um dos menos importantes, por sinal, disse ela.";"n"
"essa pesquisa ae do wakefield estava enviesada, e foi desmentida tempo depois, nao so por especialistas europeus, mas tambem por asiaticos e americanos, o problema e que, quando ele alardeou sobre essa descoberta muitas pessoas que tendiam pra um lado mais conspiracionista compraram esse discurso e por tabela, os dados dessa pesquisa ainda nao haviam sido liberados, logo, foi so depois de quase um mes que foi possivel replicar esse estudo e entao descobrir que ele estava errado, e que sua pesquisa visava contratos com um instituto farmaceutico ao qual financiava essa pesquisa, era algo relacionado ao registro de patentes, porem quando os dados comecaram a ser liberados ao publico, o estrago ja estava feito, basicamente, em 1 mes, esse irresponsavel do wakefield destruiu o trabalho de centenas de milhares de pessoas ao redor do mundo que trabalhavam direta ou indiretamente com isso , pra ter uma ideia castanha, eu estagiei cerca de 45 dias num posto de saude da minha cidade, o que chegava de pessoas desinformadas sobre como funciona os efeitos de uma vacina nao era brincadeira, e sabe o que era o mais triste disso? nao adiantava explicar, o pessoal simplesmente tampava os ouvidos e fazia la la la, nao estou te ouvindo, la la la ... enfim, eu ate entenderia, e poderia dizer igual a algumas pessoas que conhecem sobre o metodo de imunizacao que alegam o seguinte nao quer vacinar seus filhos, ok, o mundo ta cheio mesmo, melhor morrer alguns mesmo pra sobrar mais espaco mas infelizmente nao funciona isso, as vezes o comprometimento imunologico de um individuo pode acarretar problemas serios em terceiros, e assim, gerar uma pandemia devastadora na populacao";"n"
"ouvi uma piada, certa vez... um homem vai ao medico e fala que esta deprimido. diz que a vida parece dura e cruel. ele se sente so num mundo ameacador onde o futuro e vago e incerto. o doutor diz... 'o tratamento e simples. o grande palhaco pagliacci esta na cidade esta noite. va ve-lo. levantara o seu astral.' o homem comeca a chorar... e fala: 'mas doutor... eu sou o pagliacci'.   otima piada.   todo mundo ri.   batem os tambores.   caem as cortinas.";"n"
"que canal sensacional! por favor, facam videos mais longos! so uma coisa que me incomodou um pouco, em alguns momentos nao da pra entender direito o que ele fala. parece que o microfone nao capta a voz ou ele fala muito rapido e acaba comendo umas silabas, como no 2:00 segundo os livros, um bruxo..., e tambem em 1:20 eu quase nao escutei a palavra descobriu";"n"
"minha vida toda eu e minha familia e amigos pensavamos que meu jeito impaciente e nervoso era minha forma de ser, ate que ano passado eu tentei o suicidio e fui diagnosticado com depressao. 1 ano de tratamento medicamentoso e terapeutico, estou me sentindo bem mais controlado e sei que preciso continuar seguindo corretamente os conselhos medicos para sair dessa. amizade e compreensao sao muito importantes tambem, fazem toda a diferenca.";"s"
"na boa gente eles nao tem depressao!!! eles sao bipolares!!! inclusive se forem diagnosticados com depressao os remedios soh farao mal! qd eu via o jim todo euforico maluco eu ja imaginava  eh bipolar! o ator robim willians foi diagnosticado erroneamente com depressao quando na verdade ele tinha transtorno bipolar o que e horrivel porque parece q estamos em uma montanha russa epocas muito bem , animados euforicos todos nos amam nos nos amamos e somos os melhores e ai que vem a onda ruim com tudo! e parece q tem uma nuvem negra sobrevoando por cima de nos, uma sensacao horrivel, aperto no peito pensamentos pessimistas preocupacoes exageradas , pensamentos de suicidios para aliviar, diga-se de passagem van gogh era bipolar onde produzia inumeros quadros de uma vez sem dormir direito um apos o outro ( lembrando q quem eh bipolar eh imensamente criativo na fase euforica) e depois ele parava de pintar ficava meses sumido soh dormindo ... tem tb marilyn monroe, ela era bipolar e tambem se matou... eu acho ateh q existem muitos outros famosos bipolares pois essa doenca te faz se sentir muito bem e ao mesmo tempo muito mal, e na fase q vc se sente muito bem voce sente que pode conseguir ser e ter o que quiser , vc ganha uma energia absurda e se sente capaz de fazer qq coisa acho ateh que foi assim q eles conseguiram se sobressair e serem tao brilhantes! bem que o canal nostalgia podia fazer la materia sobre isso!";"n"
"quando meu irmao morreu....eu nunca mais fui a mesma pessoa sempre mostro um sorriso no rosto mais um sorriso falso e mais interessante e que ninguem me pergunta se eu estou bem ou nao  quando minha mae falou que tava gravida foi pra valer eu senti uma coisa no meu coracao que eu nunca tinha sentido antes mais ele ou ela se foi sem eu saber se era menino ou menina...eu nunca mais fui a mesma e nunca mais vou ser...obg a quem leu....";"s"
"os comediantes sao os que mais tem depressao que porra de teoria rasa. muito dificil um comediante ter/apresentar essa doenca. puxa o historico do whinderson, o cara sempre foi pra cima, alto astral... mas dps que conheceu essa mina virou um bobo, um trouxa. a mina caga pelos dedos no twitter e o trouxa vai la limpar a cagada. o que um xibil rosa faz com o camarada. agr ele se fodeu legal! se separar vai perder 50% da fortuna. agr, tomou no brioco!";"n"
"eu to agora sem entender o que aconteceu comigo rsrsrs. to passando por momentos bem complicados na minha vida, inclusive tinha acabado de ter uma crise de choro... sofro de depressao... foi assim que cheguei nesse video. ja era madrugada e minha cabeca parecia que ia explodir com tantos pensamentos. coloquei o fone, dei o play e so lembro de estar consciente (prestando atencao no som) nos primeiros minutos... eu simplesmente apaguei!!! entrei num relaxamento profundo e so acordei bem depois sem entender nada. olhei pro meu celular e percebi que tinha ouvido os 25minutos. naquele momento nao me senti ansiosa pra entender o que tinha acontecido comigo... aproveitei o relaxamento e dormir em paz. vou continuar ouvindo esse video... espero que todas as minhas decisoes sejam tomadas com bastante consciencia e que tudo acabe bem, pois acredito que mereco ser feliz!!! grande abraco a todos!  ";"s"
"parabens castanhari, familia nosegang. gostaria de propor uma hashtag para que talvez o jim possa assistir esse video e talvez se tiver com depressao perceber que tem apoio do brasil e de seus fans. entao quem sabe ele assista e se sinta melhor ou algo do tipo , entao proponho a #jymcarreynostalgic. talvez canal nostalgia vc tambem anime nao sei. parabens pelo trabalho e felicidades";"n"
"eu sinto que me ajudou muito a enfrentar a depressao a partir do momento que minha familia comecou a entender o que e a depressao. tem um livro (pequeno, simples e ilustrado) que ajudou nesse ponto. eu recomendo muito. e tem o video dele no youtube, leva menos de 10 min. pra achar voce so precisa procurar pelo titulo eu tinha um cao negro e seu nome era depressao. quem me recomendou foi minha psicologa. espero que ajude.";"s"
"na mesma epoca que ivete deixou a banda eva (e deu muito certo), a carla visi, da banda cheiro de amor, que tambem fazia bastante sucesso, resolveu ir pra carreira solo e flopou.  pussycat dolls era o banana split internacional, trocava a formacao e ninguem via diferenca.  paquitas nao tiveram carreira solo, mas faziam grupos paralelos quando acabavam as geracoes. como o three dance (bianca rinaldi, priscila couto e roberta cipriani), que nao durou dois meses acho haha e a dupla da giselle delaia e andrezza cruz (da nova geracao).";"n"
"*um homem vai ao medico, diz que esta deprimido, que a vida parece dura e cruel, diz que se sente so num mundo ameacador, o medico diz: o tratamento e simples, o grande* *palhaco pagliacci esta na cidade, va ao show. isso deve anima-lo!, o homem comeca a chorar: - mas doutor ele diz: eu sou o pagliacci.*  *boa piada, todo mundo ri, rufam os tambores, cortinas...*";"n"
"tenho depressao e ansiedade desde 2016. eu estava no terceiro ano e fazendo cursinho pre vestibular. em 2017 eu estava no fundo do poco e pedi ajuda desesperadamente para meus parentes, mas todos ignoravam e simplesmente me diziam pra eu levantar da cama e fazer minha vida ser boa... eu nao tinha forcas para isso. me sentia um fracasso constante por nao estar na faculdade ou trabalhando, um peso gigantesco a todos, e principalmente a mim... depois de tanto sofrimento eu tentei tirar minha vida. esse foi o choque de realidade a todos os meus parentes. comecei a me medicar, voltei a estudar, converso com profissionais e hoje em dia estou bem melhor. o que quero dizer e: nao ignore os sentimentos e sofrimentos dos outros, por mais que voce os julgue banais. cada um sente de uma maneira. empatia e fundamental.";"s"
"obrigado, hj eu tava na escola chorando mto, e mto triste. pq acho que ninguem me ama, e ao ouvir essa musica encontri o caminho pra continuar lutando e superar tudo que passei esse ano,como termino de namoro, ve a pessoa que amo com outro, ver meus pais brigando por n ter dinheiro pra pagar certa contas, e algumas vezes ate fome... mas gracas a essa musica e a vc. encontrei forcas pra continuar a lutar mto obrigado sei que esse comentario vc nunca vera mas... eu queria te falar que vc fez a diferenca e se possivel me chama no whatsapp  ( 21 985961704) pra mim poder te agradecer melhor. vlw msm";"s"
"estou com todos sintomas.  ja fui ao medico na minha adolescencia e o medico me disse que era depressao, ele passou medicamento,eu comecei tomar e tava fazendo eu me sentir muito mal do estomago. eu larguei o medicamento por conta propria. vim empurrando com a barriga ate aqui. eu pensava que se eu entrasse em uma faculdade eu ia ficar melhor.  pq eu me culpava muito por nao estar estudando,nem trabalhando. mas frequentei  apenas um dia e tranquei  preciso me preparar pro inicio do ano! simplesmente nao sinto vontade nem de levantar da cama. nao quero fazer as coisas que mais amo. ";"s"
"nao sei se seria muito legal falar aqui, mas vamos la.  eu nunca me considerei uma pessoa com depressao, muito pelo contrario, me negava ate o final, mas era inevitavel que eu nao conseguia mais ser como eu era antes. nunca parei de rir ou brincar, meu jeito nao mudou tanto, continuei sendo a menina louca  que ria de qualquer coisa, mas ja era diferente do antes, o sentimento de vazio era mais forte e predominante. sei que sempre cuidei muito mais dos outros do que de mim mesma, nunca reclamei e esperei algo de volta, fazia porque gostava, mas percebi o quanto aquilo me desgastava e me deixava pior, foi quando eu comecei a pensar um pouco mais em mim e na minha propria saude. melhorei muito em um ano, sei que talvez nao seja tanto, mas e o suficiente para eu nao aguentar mais, qualquer coisa me irritava, me deixava triste e com pensamentos ruins. agora estou ate que melhor da minha recaida,  continuo um pouco mal, mas melhor. fico feliz de ver um assunto desta tamanha delicadeza em um canal, que talvez na minha opiniao, e mais focado para um publico infantil, parabens pelo trabalho!";"s"
"hahaha amo esse casal... essas militantes fakes kkkkkk fi cocando a cabeca... morta ... militante e a mae de familia que sustenta os filhos sozinha,porque o safado do pai foi comprar cigarro e nunca mais voltou... a mesma mae que consegue andar arrumada,corta o cabelo ou andar de toalha de boa pelo quintal... nao essas merdas de militantes de bosta fazendo tudo pra aparecer.... madonna sim meu bem e militante,diva e rainha o resto nadinha...";"n"
"nao sei se voces sabem , mas a casa bertolazzi nao e do carlos bertolazzi, ele na verdade so cedeu o nome dele para o uso nessa rede de buffets, o dono ja tinha uma rede de infantil e comecou agora com eventos sociais e apenas usa o nome bertolazzi ! mas depois dessa pessima propaganda provavelmente a rede deve mudar de nome , pq vai acabar com o nome forte que o bertolazzi real construiu! ( ja era de se esperar , a rede de buffets infantis desse cara e uma porcaria, so sao bonitos )";"n"
